Single:
M3()_61f2a410_8.p, acc: 0.9546178579330444, loss: 0.17122650146484375 V
M3()_61f2a13a_8.p, acc: 0.9537221193313599, loss: 0.1734382063150406 V
Resnet18(10)_61f2c5e4_8.p, acc: 0.9484474658966064, loss: 0.1931154429912567
M5()_61f283ce_final.p, acc: 0.9476512670516968, loss: 0.20166873931884766 V
M5()_61f28eab_5.p, acc: 0.9476512670516968, loss: 0.20785988867282867 V
M5()_61f28d4d_8.p, acc: 0.9475517868995667, loss: 0.20363110303878784
M5()_61f28c9e_8.p, acc: 0.9475517868995667, loss: 0.2034391164779663
M5()_61f28bd4_final.p, acc: 0.9473527073860168, loss: 0.199835404753685
M7()_61f29211_0.p, acc: 0.9472532272338867, loss: 0.1995682418346405 V
M5()_61f28340_9.p, acc: 0.9472532272338867, loss: 0.20185193419456482
M5()_61f284eb_4.p, acc: 0.9468551278114319, loss: 0.19956852495670319
Resnet18(10)_61f2c21d_9.p, acc: 0.9468551278114319, loss: 0.23162709176540375
Resnet18(10)_61f2c429_0.p, acc: 0.9466560482978821, loss: 0.24906593561172485
Resnet18(10)_61f2c45f_8.p, acc: 0.9462579488754272, loss: 0.1973908394575119 V
Resnet18(10)_61f2c30a_5.p, acc: 0.9459593892097473, loss: 0.2085210531949997
M7()_61f2903f_9.p, acc: 0.9459593892097473, loss: 0.19972574710845947
M5()_61f271e4_9.p, acc: 0.9454618096351624, loss: 0.2310965210199356
M7()_61eadb09_6.p, acc: 0.9358000755310059, loss: 0.22565355896949768
Resnet18(10)_61eb157c_final.p, acc: 0.9346000552177429, loss: 0.2703644335269928
Resnet18(10)_61eb15c8_final.p, acc: 0.9343000650405884, loss: 0.2648896872997284
M7()_61eeb5af_13.p, acc: 0.932799756526947, loss: 0.2498636245727539
Resnet18(10)_61eb153a_final.p, acc: 0.9322000741958618, loss: 0.2682918310165405
M5()_61f1ae68_final.p, acc: 0.9312301278114319, loss: 0.31335383653640747
M5()_61f1af58_final.p, acc: 0.9312301278114319, loss: 0.3035673201084137
M5()_61f1ae12_final.p, acc: 0.9305334687232971, loss: 0.33751925826072693
Resnet18(10)_61eb15f6_final.p, acc: 0.9287000894546509, loss: 0.27281442284584045
Densenet161(10)_61eb0f67_9.p, acc: 0.9284001588821411, loss: 0.28308334946632385
WideResnet50(10)_61eaf152_49.p, acc: 0.828700065612793, loss: 0.5405305027961731

Ensembles:
MixedEnsemble()_61eb190e_final.p, acc: 0.9455000162124634, loss: 0.18904252350330353
(MixedEnsemble([load_from_zoo("M7()_61eadb09_6.p"),load_from_zoo("Resnet18(10)_61eb157c_final.p"),load_from_zoo("Resnet18(10)_61eb153a_final.p"),load_from_zoo("Resnet18(10)_61eb15c8_final.p"),load_from_zoo("Densenet161(10)_61eb0f67_9.p")], True)

MixedEnsemble([load_from_zoo("M5()_61f1af58_final.p"),load_from_zoo("M7()_61eadb09_6.p"),load_from_zoo("Resnet18(10)_61eb157c_final.p"),load_from_zoo("Resnet18(10)_61eb153a_final.p"),load_from_zoo("Resnet18(10)_61eb15c8_final.p"),load_from_zoo("M7()_61eeb5af_13.p")], True) val: 95% test: 94.1%
