,Unnamed: 0,Unnamed: 0.1,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
4,4,4,CNN-363,32.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0,0.0,0.0,0.0989186391234397,0.0022370829748957,,,M7(),0.4202497601509094,0.9688039422035216,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.544302190160351e-06,0.8908745646476746,0.3755449652671814
10,10,10,CNN-304,1024.0,0.9,0.999,True,1.0,10.0,7.0,cuda,,2.0,,0.0,0.0396348722279071,0.0,0.0,0.0024880234716798,,,Resnet18(10),0.3277575075626373,1.0,QHAdam,,,0.0663061663508415,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.979356854589605e-05,0.5104970335960388,1.5723055601119995
11,11,11,CNN-375,128.0,0.9,0.999,True,1.0,6.0,4.0,cuda,,2.0,,0.0248229335993528,0.0,0.0,0.0164472665637731,0.0031369227939302,,,M7(),0.6667476892471313,0.9562230706214904,QHAdam,,,0.0219099689275026,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0016295577266189,0.8042919635772705,0.6303585767745972
12,12,12,CNN-349,64.0,0.9,0.999,True,0.0,9.0,4.0,cuda,,2.0,,0.0,0.1293994039297104,0.0589728541672229,0.0,0.0492306251451833,,,M5(),0.3771509528160095,1.0,QHAdam,,,0.1022182703018188,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,9.921236875212167e-06,0.8788813948631287,0.3967150747776031
14,14,14,CNN-378,256.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.022736782208085,0.0390311181545257,0.0314805321395397,0.1505105197429657,0.0004651711705577,,,M5(),0.5278823375701904,1.0,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.64165266734749e-05,0.8622070550918579,0.6663557291030884
16,16,16,CNN-357,32.0,0.9,0.999,True,1.0,10.0,5.0,cuda,,2.0,,0.0,0.0,0.0,0.0454422608017921,0.0029130061535786,,,Resnet18(10),0.4401149749755859,1.0,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.408888533792662e-06,0.8579273223876953,0.4622425734996795
20,20,20,CNN-345,64.0,0.9,0.999,True,0.0,10.0,4.0,cuda,,2.0,,0.0861623808741569,0.1607924997806549,0.0724357664585113,0.0,0.0001971360040943,,,M5(),0.3813905119895935,1.0,QHAdam,,,0.0,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,4.626968624594258e-05,0.9030653238296508,0.5168805718421936
24,24,24,CNN-326,512.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0252522658556699,0.0440240576863288,0.0,0.0085383467376232,0.1,,,M5(),0.285256028175354,0.9194002747535706,QHAdam,,,0.120642177760601,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0008532345252529,0.5047794580459595,1.5136595964431765
33,33,33,CNN-354,1024.0,0.9,0.999,True,0.0,14.0,8.0,cuda,,2.0,,0.0,0.0486126355826854,0.0322593189775943,0.0160908624529838,0.0060614438178105,,,M7(),0.3275313973426819,0.939680814743042,QHAdam,,,0.0,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0026141657843397,0.555367112159729,1.3906701803207395
38,38,38,CNN-343,32.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0788385048508644,0.0066309138201177,0.0,0.0,8.461239099117543e-05,,,Resnet18(10),0.4897577166557312,1.0,QHAdam,,,0.0328892581164836,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0003028576886611,0.8428514003753662,0.5174896717071533
