,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss,parameters/tag
2,CNN-450,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0004421698367537675,,,M5(),0.4339693486690521,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.7963292769762275e-05,0.9082404375076294,0.4344087541103363,sweep2
3,CNN-405,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,5.3049510071229015e-05,,,M5(),0.5554839968681335,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.016219888580093e-06,0.9043591022491455,0.5655890703201294,sweep2
9,CNN-436,64.0,0.9,0.999,True,0.0,11.0,5.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0005713706836579176,,,M5(),0.3437564969062805,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.00010754576737621078,0.9241639971733093,0.2964650094509125,sweep2
15,CNN-442,64.0,0.9,0.999,True,0.0,2.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0005042277057936255,,,M5(),0.7833274006843567,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.622644890743245e-05,0.9219745397567749,0.30373910069465637,sweep2
16,CNN-398,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,6.438616987626637e-06,,,M5(),0.6224623918533325,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.884502824686578e-05,0.8047372698783875,0.9162807464599609,sweep2
25,CNN-432,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,1.209761545933064e-05,,,M5(),0.368547260761261,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.00016463086101544403,0.8452428579330444,0.8016034960746765,sweep2
26,CNN-425,64.0,0.9,0.999,True,0.0,1.0,1.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0016753952470504767,,,M5(),0.28702160716056824,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.2111902765281418e-06,0.9222730994224548,0.26859593391418457,sweep2
32,CNN-446,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,6.444366920374859e-05,,,M5(),0.6141942143440247,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.238791532019441e-06,0.9129180312156677,0.5394653081893921,sweep2
45,CNN-408,64.0,0.9,0.999,True,0.0,14.0,7.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.001616953599447443,,,M5(),0.4654965102672577,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,6.954258403342435e-07,0.9261544942855835,0.26256367564201355,sweep2
46,CNN-413,64.0,0.9,0.999,True,0.0,6.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00014545392622314446,,,M5(),0.25199541449546814,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.762457288699118e-06,0.9236664175987244,0.4069351851940155,sweep2
